PRUID,province,year,total_census_families,couple_families,lone_parent_families
10,Newfoundland and Labrador,2013,159822,134573,25249
10,Newfoundland and Labrador,2014,160519,135354,25165
10,Newfoundland and Labrador,2015,160262,134810,25452
10,Newfoundland and Labrador,2016,160881,135605,25276
10,Newfoundland and Labrador,2017,161240,136004,25236
11,Prince Edward Island,2013,41251,34607,6644
11,Prince Edward Island,2014,41671,35052,6619
11,Prince Edward Island,2015,42107,35366,6741
11,Prince Edward Island,2016,42220,35520,6700
11,Prince Edward Island,2017,42458,35728,6730
12,Nova Scotia,2013,271634,223374,48260
12,Nova Scotia,2014,272155,223936,48219
12,Nova Scotia,2015,272837,224019,48818
12,Nova Scotia,2016,272913,224358,48555
12,Nova Scotia,2017,273109,224554,48555
13,New Brunswick,2013,223990,188107,35883
13,New Brunswick,2014,224236,188507,35729
13,New Brunswick,2015,224248,187962,36286
13,New Brunswick,2016,224175,188172,36003
13,New Brunswick,2017,224228,188187,36041
24,Quebec,2013,2223075,1857595,365480
24,Quebec,2014,2234952,1869996,364956
24,Quebec,2015,2245146,1874473,370673
24,Quebec,2016,2258365,1888383,369982
24,Quebec,2017,2270576,1899330,371246
35,Ontario,2013,3789527,3141157,648370
35,Ontario,2014,3827636,3178573,649063
35,Ontario,2015,3862240,3206948,655292
35,Ontario,2016,3900278,3240229,660049
35,Ontario,2017,3936823,3272133,664690
46,Manitoba,2013,341354,282803,58551
46,Manitoba,2014,344741,286304,58437
46,Manitoba,2015,348675,289259,59416
46,Manitoba,2016,352189,292668,59521
46,Manitoba,2017,355604,295783,59821
47,Saskatchewan,2013,298511,247680,50831
47,Saskatchewan,2014,301869,250540,51329
47,Saskatchewan,2015,304448,252017,52431
47,Saskatchewan,2016,309072,256360,52712
47,Saskatchewan,2017,312708,259470,53238
48,Alberta,2013,1091997,936436,155561
48,Alberta,2014,1119538,962591,156947
48,Alberta,2015,1126332,966200,160132
48,Alberta,2016,1160747,998695,162052
48,Alberta,2017,1186506,1022170,164336
59,British Columbia,2013,1278456,1080293,198163
59,British Columbia,2014,1298187,1100348,197839
59,British Columbia,2015,1318028,1117777,200251
59,British Columbia,2016,1333127,1133549,199578
59,British Columbia,2017,1349151,1149422,199729
60,Yukon,2013,9947,7901,2046
60,Yukon,2014,10067,8015,2052
60,Yukon,2015,10204,8069,2135
60,Yukon,2016,10330,8201,2129
60,Yukon,2017,10374,8262,2112
61,Northwest Territories,2013,11578,8951,2627
61,Northwest Territories,2014,11716,9068,2648
61,Northwest Territories,2015,11773,9165,2608
61,Northwest Territories,2016,11905,9203,2702
61,Northwest Territories,2017,12027,9275,2752
62,Nunavut,2013,8842,6328,2514
62,Nunavut,2014,9119,6363,2756
62,Nunavut,2015,9361,6482,2879
62,Nunavut,2016,9663,6614,3049
62,Nunavut,2017,9995,6769,3226
